Resource,OSNR,Crosstalk,nli,Allocted,Load
0,0,0,1672,100000,60
0,0,0,1692,100000,60
0,0,0,1659,100000,60
0,0,0,1803,100000,60
0,0,0,1844,100000,60
0,0,0,5437,100000,100
0,0,0,5650,100000,100
0,0,0,5363,100000,100
0,0,0,5768,100000,100
0,0,0,5533,100000,100
0,0,0,8854,100000,140
0,0,0,8873,100000,140
0,0,0,8663,100000,140
0,0,0,9052,100000,140
0,0,0,9065,100000,140
0,0,0,11275,100000,180
0,0,0,11422,100000,180
0,0,0,11216,100000,180
0,0,0,11271,100000,180
0,0,0,11194,100000,180
0,0,0,13143,100000,220
0,0,0,13158,100000,220
0,0,0,13184,100000,220
0,0,0,12959,100000,220
0,0,0,13221,100000,220
0,0,0,14571,100000,260
0,0,0,14534,100000,260
0,0,0,14666,100000,260
0,0,0,14759,100000,260
0,0,0,14625,100000,260
