Resource,OSNR,Crosstalk,nli,Allocted,Load
0,0,0,3853,100000,60
0,0,0,3749,100000,60
0,0,0,3677,100000,60
0,0,0,3624,100000,60
0,0,0,3929,100000,60
0,0,0,9379,100000,100
0,0,0,9389,100000,100
0,0,0,9568,100000,100
0,0,0,9506,100000,100
0,0,0,9339,100000,100
0,0,0,13821,100000,140
0,0,0,13547,100000,140
0,0,0,13508,100000,140
0,0,0,13840,100000,140
0,0,0,13774,100000,140
0,0,0,16502,100000,180
0,0,0,17073,100000,180
0,0,0,16623,100000,180
0,0,0,16941,100000,180
0,0,0,16746,100000,180
0,0,0,19046,100000,220
0,0,0,18925,100000,220
0,0,0,18814,100000,220
0,0,0,18933,100000,220
0,0,0,19082,100000,220
0,0,0,20924,100000,260
0,0,0,20779,100000,260
0,0,0,21242,100000,260
0,0,0,20774,100000,260
0,0,0,20989,100000,260
